sampleNames;sample;Year;site;enrichment;enrichment;days;Period;folder;Info4;Expname;Experimentator;Csource;CsourceBeta;biomass.enriched;filter.fraction;oxygen;thiosulfate;ammonium;nitrite;nitrate;methylamine;cellulose;starch;veratric.acid;soil.seepage;necromass;R2A;leaf.leachate;16S.gene.copies.per.L;dev;PNK;Before
12CT2B;12CT2B;2018;H41;Autotrophy;Autotrophy;43;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;1.77E+07;1.77E+07;3.22E+06;autotrophy
12CT2C;12CT2C;2018;H41;Autotrophy;Autotrophy;43;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;2.10E+07;2.10E+07;1.87E+06;autotrophy
12CT3A;12CT3A;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;3.28E+07;3.28E+07;3.68E+06;autotrophy
12CT3B;12CT3B;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;3.86E+07;3.86E+07;8.30E+06;autotrophy
12CT3C;12CT3C;2018;H41;Autotrophy;Autotrophy;70;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;4.48E+07;4.48E+07;3.68E+06;autotrophy
12LA;12LA;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
12LB;12LB;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
12LC;12LC;2018;H52;Autotrophy;Autotrophy;41;>3weeks;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
12Me13C-L-C;12Me13C-L-C;2019;H41;Methanol;Methanol;39;>3weeks;10-2019 04 12 H41 Methanol;10-Methanol;MethanolSIP;MT;methylotrophy;methylotrophy;no;0.2;oxic;no;no;no;no;no;no;no;no;no;no;no;no;NA;NA;NA;methylotrophy
12SA;12SA;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
12SB;12SB;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
12SC;12SC;2018;H52;Autotrophy;Autotrophy;7;1week;8-H52 Autotrophy SIP;8-Autotrophy;H52AutoSIPtest;MT;autotrophy;autotrophy;no;0.2;anoxic;yes;yes;no;yes;no;no;no;no;no;no;no;no;NA;NA;NA;autotrophy
13-JS;13-JS;NA;H41;starch;13SA-I-1-DNA-JS;70;>3weeks;16-cellulose;13C;starch;MT;organic_defined;organic_defined;NA;0.2;oxic;no;no;no;no;no;no;yes;no;no;no;no;no;NA;NA;NA;organic_defined
13CT1B;13CT1B;2018;H41;Autotrophy;Autotrophy;21;3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;3.12E+07;3.12E+07;4.92E+06;autotrophy
13CT1C;13CT1C;2018;H41;Autotrophy;Autotrophy;21;3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;4.12E+07;4.12E+07;3.48E+06;autotrophy
13CT2A;13CT2A;2018;H41;Autotrophy;Autotrophy;43;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;2.86E+07;2.86E+07;4.08E+06;autotrophy
13CT2B;13CT2B;2018;H41;Autotrophy;Autotrophy;43;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;2.10E+07;2.10E+07;2.82E+06;autotrophy
13CT2C;13CT2C;2018;H41;Autotrophy;Autotrophy;43;>3weeks;5-2018 11 21 H41 autotrophy;5-Autotrophy;H41AutoSIP;MT;autotrophy;autotrophy;yes;0.2;oxic;yes;yes;no;no;no;no;no;no;no;no;no;no;4.66E+07;4.66E+07;3.84E+06;autotrophy
